CO_UNIDADE;NO_UNIDADE
219;MADUREIRA, RJ
220;PAP VASSOURAS
221;MEIER, RJ
222;PALACIO DA FAZENDA, RJ
223;NOVA SETE DE SETEMBRO, SP
224;PENHA, RJ
225;PILARES, RJ
226;URCA, RJ
227;SAO LUIS REI DE FRANCA, MA
228;SAENS PENA, RJ
229;SANTA CRUZ, RJ
230;VILA ESPANHOLA, SP
231;14 BIS, RJ
232;SAO CRISTOVAO, RJ
233;VILA ISABEL, RJ
235;SE, SP
236;ALTO DA MOOCA, SP
237;PORTO GERAL, SP
238;AV PAULISTA, SP
239;AUGUSTA, SP
240;BELA VISTA, SP
241;BELENZINHO, SP
242;BRAS, SP
243;CAMBUCI, SP
244;CASA VERDE, SP
245;VILLA LOBOS, SP
246;JOAO DE LUCA, SP
247;CUMBICA, SP
248;DIADEMA, SP
249;SETE DE ABRIL, SP
250;GUARULHOS, SP
251;MOEMA, SP
252;IPIRANGA, SP
253;SENADOR QUEIROS, SP
254;ITAIM, SP
255;PRACA DA ARVORE, SP
256;RUA CLEMENTE ALVARES, SP
257;GUAICURUS, SP
258;SHOPPING CAMPO GRANDE, MS
259;MOOCA, SP
260;NOSSA SENHORA DO O, SP
261;M BOI MIRIM, SP
262;PENHA DE FRANCA, SP
263;PEDROSO DE MORAES, SP
264;CLEVELANDIA, PR
265;JUSTICA FEDERAL SAO PAULO, SP
267;SANTA CECILIA, SP
268;SANTANA, SP
269;BORBA GATO, SP
270;TATUAPE, SP
271;MAZZEI, SP
272;VILA CARRAO, SP
273;VILA MARIA, SP
274;ALFONSO BOVERO, SP
275;VILA PRUDENTE, SP
276;ADAMANTINA, SP
277;AGUAS DE SAO PEDRO, SP
278;AMERICANA, SP
279;AMPARO, SP
280;ANDRADINA, SP
281;ARACATUBA, SP
282;ARARAQUARA, SP
283;ARARAS, SP
284;ASSIS, SP
285;ATIBAIA, SP
286;AVARE, SP
287;BARIRI, SP
288;BARRETOS, SP
289;BATATAIS, SP
290;BAURU, SP
291;BEBEDOURO, SP
292;BOTUCATU, SP
293;BRAGANCA PAULISTA, SP
294;BROTAS, SP
295;CACAPAVA, SP
296;CAMPINAS, SP
297;CAMPOS DO JORDAO, SP
298;CAPIVARI, SP
299;CATANDUVA, SP
300;CRUZEIRO, SP
301;CUBATAO, SP
302;DRACENA, SP
303;FERNANDOPOLIS, SP
304;FRANCA, SP
305;GARCA, SP
306;GUARATINGUETA, SP
307;ITAPETININGA, SP
308;ITAPIRA, SP
309;ITAPOLIS, SP
310;ITARARE, SP
311;ITATIBA, SP
312;ITU, SP
313;JABOTICABAL, SP
314;JACAREI, SP
315;JAU, SP
316;JUNDIAI, SP
317;LIMEIRA, SP
318;LINS, SP
319;LORENA, SP
320;MARILIA, SP
321;MIRASSOL, SP
322;CIDADE DE MOCOCA, SP
323;MOGI-MIRIM, SP
324;OLIMPIA, SP
325;ORLANDIA, SP
326;OSASCO, SP
327;OURINHOS, SP
328;PEDERNEIRAS, SP
329;PENAPOLIS, SP
330;PINDAMONHANGABA, SP
331;PINHAL, SP
332;PIRACICABA, SP
333;PIRAJU, SP
334;PIRASSUNUNGA, SP
336;PRESIDENTE EPITACIO, SP
337;PRESIDENTE PRUDENTE, SP
338;PRESIDENTE VENCESLAU, SP
339;RANCHARIA, SP
340;RIBEIRAO PRETO, SP
341;RIO CLARO, SP
342;SALTO, SP
343;SANTA CRUZ DO RIO PARDO, SP
344;SANTO ANDRE, SP
345;SANTOS, SP
346;SAO BERNARDO DO CAMPO, SP
347;SAO CAETANO DO SUL, SP
348;SAO CARLOS, SP
349;SAO JOAO DA BOA VISTA, SP
350;MOGI DAS CRUZES, SP
351;SAO JOSE DOS CAMPOS, SP
352;SAO JOSE DO RIO PARDO, SP
353;SAO JOSE DO RIO PRETO, SP
354;SAO VICENTE, SP
355;SERTAOZINHO, SP
356;SOROCABA, SP
357;TABOAO DA SERRA,SP
358;TAQUARITINGA, SP
359;TATUI, SP
360;TAUBATE, SP
361;TIETE, SP
362;TUPA, SP
363;VALINHOS, SP
364;VOTUPORANGA, SP
365;VICENTE DE CARVALHO, SP
366;BOQUEIRAO, SP
367;ALEM PONTE, SP
368;COMENDADOR, PR
