CO_UNIDADE;NO_UNIDADE
1008;VILA MATILDE, SP
1009;BURITI SHOPPING, GO
1010;ERLIE AMORIM, PB
1011;UNIVERSITARIA, SC
1012;VERA CRUZ, RS
1013;UFERSA, RN
1014;LARGO DO CAPAO, SP                 
1015;CANDELARIA, RS
1016;RUDGE RAMOS, SP
1017;VIA ANCHIETA, SP
1018;PITUBA, BA
1019;CENTRO ADMINISTRATIVO, BA
1020;CATEDRAL MACEIO, AL
1021;ONDINA, BA
1022;VENDA NOVA, MG
1023;ALEM PARAIBA, MG
1024;JACAREPAGUA, RJ
1025;RAMOS, RJ
1026;CONDE DE BONFIM, RJ
1027;LINO TEIXEIRA, RJ
1028;CAXANGA, PE
1029;JUSTICA FEDERAL RECIFE, PE
1030;CONDE DA BOA VISTA, PE
1031;CONSELHEIRO AGUIAR, PE
1032;BAIRRO CANELA, BA
1033;CRUZ DAS ARMAS, PB
1034;GOIABEIRAS, ES
1035;FRANCISCO SA, CE
1037;CURICICA, RJ
1038;SANTA CRUZ DO CAPIBARIBE, PE
1039;TJ BRASILIA, DF
1040;BRAZLANDIA, DF
1041;COMERCIAL SUL, DF
1043;PRACA 14, AM
1044;CONGONHAS, MG
1045;SIQUEIRA CAMPOS, SE
1046;JARDIM LIMOEIRO, ES
1047;GOMES DE MATOS, CE
1048;JANGADA, CE
1050;ANISIO TEIXEIRA, BA
1051;CAMACARI, BA
1053;ITAPUA, BA
1054;LIVRAMENTO NOSSA SENHORA, BA
1056;XIQUE-XIQUE, BA
1057;515 SUL, DF
1059;ABAETE, MG
1060;BOM DESPACHO, MG
1061;CAMBUI, MG
1062;CAMPINA VERDE, MG
1063;DORES DO INDAIA, MG
1064;JACUTINGA, MG
1065;OURO BRANCO, MG
1066;SANTA LUZIA, MG
1067;SAO JOAO NEPOMUCENO, MG
1068;SHOPPING MONTE CARMO, MG
1069;CEARA-MIRIM, RN
1070;BRACO DO NORTE, SC
1071;CAPINZAL, SC
1073;GASPAR, SC
1074;GUARAMIRIM, SC
1075;IMBITUBA, SC
1077;MARAVILHA, SC
1078;MAURO RAMOS, SC
1079;ORLEANS, SC
1080;PALMITOS, SC
1081;RIO NEGRINHO, SC
1082;SAO JOAQUIM, SC
1083;ITAQUI BACANGA, MA
1084;TURVO, SC
1085;XAXIM, SC
1086;ITAQUERA, SP
1087;HEITOR PENTEADO, SP
1088;AGUAS LINDAS SHOPPING, GO
1089;CAUCAIA, CE
1092;COIMBRA, GO
1093;MUZAMBINHO, MG
1094;PAVUNA, RJ
1095;INHAUMA, RJ
1096;BALNEARIO PICARRAS, SC
1100;AREIA, PB
1101;GOIANINHA, RN
1102;ITUPORANGA, SC
1103;MAIRIPORA, SP
1104;SANTA RITA DO PASSA QUATRO, SP
1106;PAJUCARA, AL
1107;COXIM, MS
1108;AV BANDEIRANTES, MS
1109;PAB MINISTERIO DA SAUDE            
1111;BATURITE, CE
1112;ARACRUZ, ES
1113;CONCEICAO DA BARRA, ES
1114;JOAO NEIVA, ES
1115;IUNA, ES
1116;COLINAS DO TOCANTINS, TO
1119;ACAILANDIA, MA
1121;MONTE ALEGRE DE MINAS, MG
1123;RIO POMBA, MG
1124;SANTA VITORIA, MG
1127;IBIPORA, PR
1129;NOVA PETROPOLIS, RS
1130;SAO MARCOS, RS
1131;TEIXEIRA DE FREITAS, BA
1133;MENESTREL DAS ALAGOAS, AL
1134;PORTO CALVO, AL
1135;DELMIRO GOUVEIA, AL
1136;COHATRAC, MA
1137;ITAMARAJU, BA
1138;PRAIA DA BARRA, RJ
1140;JARAGUA, GO
1141;PARAISO DO TOCANTINS, TO
1142;BARRA DO BUGRES, MT
1144;JARDIM, MS
1146;FATIMA DO SUL, MS
1148;PORECATU, PR
1149;BELO HORIZONTE, MG
1150;TRES COROAS, RS
1151;JACUHY, RS
1152;RESTINGA SECA, RS
1153;AGUDOS, SP
1155;AV IBIRAPUERA, SP
1157;LUCELIA, SP
1160;PARQUE PRADO, SP
1161;RIO DAS PEDRAS, SP
1165;CAJURU, SP
1166;PARI, SP
1168;SERRA NEGRA, SP
1170;URUPES, SP
1171;MORRO AGUDO, SP
1172;CAMPINAS DE PIRAJA, BA
1173;FARTURA, SP
1174;JOSE BONIFACIO, SP
1176;SOCORRO, SP
1177;AGUAS DE LINDOIA, SP
1180;COLINA, SP
1181;TRF 3A REGIAO SAO PAULO, SP
1182;PITANGUEIRAS, SP
1185;VINHEDO, SP
1187;ARUJA, SP
1188;BASTOS, SP
1189;CAMPO LIMPO PAULISTA, SP
1190;CANDIDO MOTA, SP
1191;COSMOPOLIS, SP
1192;FERRAZ DE VASCONCELOS, SP
1194;JARDINOPOLIS, SP
1197;PALMITAL, SP
1198;SANTA CRUZ DAS PALMEIRAS, SP
1199;SANTA ISABEL, SP
1200;SAO PEDRO, SP
1201;VARGEM GRANDE DO SUL, SP
1202;CIDADE DE GUAIRA, SP
1203;JAGUARIUNA, SP
1205;POMPEIA, SP
1206;UTINGA, SP
1207;MAGNOLIA, SP
1208;APARECIDA, SP
1209;BARRA BONITA, SP
1210;GUARARAPES, SP
1211;MORAES SALES, SP
1213;CAPAO BONITO, SP
1214;CERQUILHO, SP
1215;PINDORAMA, SP
1217;VILA GERTY, SP
1218;VILA NOVA CONCEICAO, SP
1220;LARANJAL PAULISTA, SP
1221;BUTANTA, SP
1222;JACUPIRANGA, SP
1223;IRACEMAPOLIS, SP
1226;EMBU DAS ARTES, SP
1227;MONTE MOR, SP
1228;ITAPEVI, SP
1230;AROUCHE, SP
1231;BARRA FUNDA, SP
1233;GONZAGA, SP
1234;PONTE RASA, SP
1235;PRATA, MG
1236;DOM JOAO VI, BA
1237;URUANA, GO
1238;VILA BOA DE GOIAS, GO
1239;IPAMERI, GO
1240;JUSSARA, GO
1241;TRINDADE, GO
1242;CARPINA, PE
1243;SAO PEDRO DA ALDEIA, RJ
1244;MARICA, RJ
1245;ITAOCARA, RJ
1246;NATIVIDADE, RJ
1247;SAO FRANCISCO, RJ
1248;JACIARA, MT
1251;INHUMAS, GO
1252;ITAPURANGA, GO
1253;PALMEIRAS DE GOIAS, GO
1254;SANTA HELENA DE GOIAS, GO
1255;VIANA, ES
1256;CAPANEMA DO PARANA, PR
1260;COLORADO, PR
1261;CORBELIA, PR
1264;JANDAIA DO SUL, PR
1265;MAMBORE, PR
1266;GRALHA AZUL, PR
1267;MARIALVA, PR
1268;SANTA HELENA, PR
1270;JUSTICA FEDERAL FOZ DO IGUACU, PR
1271;JUSTICA FEDERAL LONDRINA, PR
1276;TRT 7A REGIAO FORTALEZA, CE
1278;ANTONIO PRADO, RS
1282;PRACA DO CARMO, PR
1284;OURO VERDE, PR
1286;SEMINARIO, PR
1287;REALEZA, PR
1288;OUROESTE, SP
1292;AGUDO, RS
1294;TEATRO MARROCOS, PE
1295;SURUBIM, PE
1296;SAO JOSE DO EGITO, PE
1297;211 NORTE, DF
1298;CERES, GO
1300;SHOPPING GRANDE CIRCULAR, AM
1302;EDUCANDOS, AM
1303;ESTRELA D OESTE, SP
1304;BARREIRA GRANDE, SP
1305;IBICARAI, BA
1306;VENDA NOVA DO IMIGRANTE, ES
1307;SAO LUIS, MA
1308;BARRA DO GARCAS, MT
1310;TRIBUNAL DE JUSTICA, MS
1311;IVINHEMA, MS
1312;MARACAJU, MS
1314;SAO BRAZ, PA
1315;CABANAGEM, PA
1316;BATEL, PR
1318;ASTORGA, PR
1319;PALMAS, PR
1326;NOSSA SENHORA DA PAZ, RJ
1327;CATETE, RJ
1328;EDGARD ROMERO, RJ
1330;SHOPPING VIA BRASIL, RJ
1331;SAO FRANCISCO DO ITABAPOANA, RJ
1332;BACAXA, RJ
1334;25 DE AGOSTO, RJ
1335;MIRACEMA, RJ
1336;PARACAMBI, RJ
1337;FONSECA, RJ
1338;IPORA, GO
1339;GAVEA, RJ
1340;SERRA DOURADA, GO
1342;TST, DF
1343;RUA NELSON MANDELA, RJ
1344;BARRA DA TIJUCA, RJ
1348;BAIA NORTE, SC
1349;ESTACAO SAO JOAQUIM, SP
1350;LOUVEIRA, SP
1351;ROCHDALE, SP
1352;TAMBAU, SP
1353;MONTE AZUL PAULISTA, SP
1354;CIDADE DE MIRANDOPOLIS, SP
1357;SAO SEBASTIAO, SP
1358;CRAVINHOS, SP
1359;SAO PEDRO DO SUL, RS
1360;JARDIM EUROPA, SP
1363;SANTO ANASTACIO, SP
1365;CAMPO LIMPO, SP
1366;UFSM, RS
1367;JABAQUARA, SP
1368;IMIRIM, SP
1370;JARDIM PAULISTA, SP
1371;VILA NOVA CACHOEIRINHA, SP
1372;CLELIA, SP
1374;METRO SANTA CRUZ, SP
1376;VILA PARANAGUA, SP
1377;DOIS IRMAOS, RS
1378;CASCA, RS
1379;AEROPORTO RIO DE JANEIRO, RJ
1382;LAGOA DA PRATA, MG
1383;OEIRAS, PI
1384;ITAPEMIRIM, ES
1385;ALTA FLORESTA, MT
1386;SENADO FEDERAL - SEEP, DF
1388;CTA SAO JOSE CAMPOS, SP
1389;AUGUSTO MONTENEGRO, PA
1391;PAROBE, RS
1392;SAO JOSE DE RIBAMAR, MA
1394;ADILSON SEABRA, GO
1397;JUSTICA DO TRABALHO PIRACICABA, SP
1398;ITAPERUCU, PR
1399;TRT BRASILIA, DF
1400;VILA ADYANA, SP
1402;TRT CONTAGEM, MG
1405;AREINHA, MA
1406;IF, RN
1408;JUSTICA DO TRABALHO OURINHOS, SP
1411;RIO NORTE, RJ
1412;SHOPPING D, SP
1413;CIDADE DOS AZULEJOS, MA
1416;RELOGIO DE SAO PEDRO, BA
1420;AVENTUREIRO, SC
1421;TRF 5A REGIAO RECIFE, PE
1422;BETANIA, MG
1423;IPU, CE
1425;PIUMHI, MG
1426;POMPEU, MG
1431;MINISTERIO DA FAZENDA, DF
1433;AFOGADOS DA INGAZEIRA, PE
1434;ESTACAO MARECHAL, ES
1435;POCOES, BA
1436;MATOZINHOS, MG
1437;ALVORADA, RS
1438;PERUIBE, SP
1439;MUCUM, RS
1440;BOM SUCESSO, MG
1441;CAETE, MG
1442;CALDAS, MG
1443;PERDOES, MG
1445;VERDES CAMPOS, PR
1448;CONCEICAO DO COITE, BA
1449;SETE PORTAS, BA
1450;ESTRADA DAS BARREIRAS, BA
1452;PAINEIRAS, SP
1456;UFPB, PB
1457;TEATRO AMAZONAS, AM
1458;BARRA BUSINESS, RJ
1460;LAGOA SANTA, MG
1461;NOVA ERA, MG
1462;TIMOTEO, MG
1464;PANTANAL, MS
1469;CONJUNTO CEARA, CE
1470;CAMANDUCAIA, MG
1471;JUSTICA FEDERAL JUIZ DE FORA, MG
1472;JUSTICA FEDERAL UBERLANDIA, MG
1474;RIO CASCA, MG
1475;SANTA BARBARA, MG
1477;ENCONTRO DAS AGUAS, AM
1479;SAN REMO, PR
1482;AGUA VERDE, PR
1483;ELIAS FAUSTO, SP
1484;SAMPA, SP
1485;NOVA BASSANO, RS
1486;IBIRITE, MG
1487;PIRAPETINGA, MG
1488;BICAS, MG
1491;INHAPIM, MG
1496;13 DE JUNHO, MT
1498;CAMINHO DE AREIA, BA
1499;MASSARANDUBA, SC
1500;AUGUSTO LEITE, SE
1502;SUDOESTE, DF
1504;CIDADE DO ACO, RJ
1506;PARANAPUAN, RJ
1507;JOSE CLEMENTE, RJ
1509;TRT SALVADOR, BA
1510;SHOPPING ITAIGARA, BA
1511;SIG, DF
1517;CIDADELA, BA
1519;RIO VERMELHO, BA
1520;PORTO DA BARRA, BA
1521;PRACA DEODORO, MA
1522;SHOPPING PIEDADE, BA
1523;SANTA CRUZ CABRALIA, BA
1524;BIGORRILHO, PR
1525;CANDIDO DE ABREU, PR
1527;PEDRA GRANDE, SP
1529;VALE VERDE, MG
1530;LUXEMBURGO, MG
1531;AV CASPER LIBERO, SP
1532;CARMO-SION, MG
1533;MINAS TENIS, MG
1534;FIDELIS REIS, MG
1536;MANOEL HONORIO, MG
1537;MARTINS, MG
1538;SAO BENEDITO, MG
1539;AMERICA, ES
1540;SAO SILVANO, ES
1544;VERDE VALE, SC
1545;GRACILIANO RAMOS, AL
1546;CIDADE CANCAO, PR
1547;PRINCESA DOS CAMPOS, PR
1548;PARQUE DEZ, AM
1549;AMAZONAS SHOPPING, AM
1550;PRACA DO TRABALHADOR, GO
1551;PRACA DO AVIAO, GO
1552;PRACA DO MIGRANTE, PR
1553;IGAPO, PR
1554;COLON, SC
1555;CORONEL AMERICO, SC
1556;CNB 12, DF
1557;MACEIO, AL
1558;GRAPIUNA, BA
1559;TERRA DA LUZ, CE
1560;NAUTICO, CE
1562;JUSTICA FEDERAL FORTALEZA, CE
1563;PARANGABA, CE
1564;JARDIM DA PENHA, ES
1565;CURITIBA, PR
1567;ITINGUCU, SP
1568;BARAO DO RIO BRANCO, MS
1569;PRAINHA, MT
1571;PAES DE BARROS, SP
1572;PARAISO, SP
1573;GRAND PLAZA SHOPPING, SP
1575;FLAMBOYANT, GO
1576;COHAB, MA
1577;CONCEICAO DOS MULATOS, MA
1578;MUSEU EMILIO GOELDI, PA
1580;PRAIA DA PIEDADE, PE
1581;JANGA, PE
1582;RECIFE ANTIGO, PE
1583;ESPINHEIRO, PE
1584;AV AGAMENON MAGALHAES, PE
1585;CAMARA CASCUDO, RN
1587;SHOPPING JOAO PESSOA, RS
1588;AVENIDA CARLOS GOMES, RS
1589;SAO PELEGRINO, RS
1590;CAPUCHINHOS, RS
1591;VOLTA DO GUERINO, RS
1592;BOURBON IPIRANGA, RS
1593;PRACA MARECHAL FLORIANO, RS
1594;PRINCESA DO SUL, RS
1595;YMEMBUI, RS
1596;JUCA BATISTA, RS
1597;CLINICAS, SP
1598;GUARAPIRANGA, SP
1599;BARAO, SP
1600;PARQUE DA UVA, SP
1601;VILA ALPINA, SP
1602;JARDIM AEROPORTO, SP
1603;PARQUE SAO JORGE, SP
1604;TAQUARAL, SP
1606;BARAO DE GURGUEIA, PI
1607;PICARRA, PI
1608;B. COUTINHO, SP
1609;PARQUE DA ACLIMACAO, SP
1610;DEZENOVE DE MARCO, SP
1611;SUBAE, BA
1612;CAMPOS ELISEOS, SP
1613;ANA COSTA, SP
1617;VIEIRA DE MORAES, SP
1618;VILA DIVA, SP
1619;MARIO GUIMARAES, RJ
1620;IGUACUANO, RJ
1623;OLARIA, RJ
1624;AV CHILE, RJ
1625;MOGI SHOPPING, SP
1626;CORA CORALINA, GO
1627;JOAO NEGRAO, PR
1628;CENTRO CIVICO, PR
1630;AHU, PR
1631;NOVA LONDRES, PR
1632;CAPAO DA IMBUIA, PR
1633;BAIRRO REBOUCAS, PR
1634;JARDIM SATELITE, SP
1635;VILA ESPERANCA, SP
1637;CIDADE DAS ORQUIDEAS, SC
1638;COQUEIROS, SC
1639;JARDIM INDUSTRIAL, MG
1640;CALAFATE, MG
1641;PADRE CAFE, MG
1642;IBITURUNA, MG
1643;GLORIA, ES
1644;SCHARLAU, RS
1645;ERICO VERISSIMO, RS
1647;PAP CEHAB
1648;AEROPORTO SANTOS DUMONT, RJ
1649;AV KENNEDY, MA
1650;SHOPPING CENTER TIJUCA, RJ
1651;IMPERIAL, RJ
1652;HIGIENOPOLIS, SP
1653;ITAIM PAULISTA, SP
1654;PLANALTO PAULISTA, SP
1655;SILVIO ROMERO, SP
1656;CASA DE PEDRA, SP
1657;PEDRA AFIADA, PE
1660;ITOUPAVA NORTE, SC
1662;OURO NEGRO, SC
1663;CORAL, SC
1665;NOVA TIRADENTES, SP
1667;PARC ROYAL, MG
1668;ESPERANCA, PB
1669;JUSTICA DO TRABALHO MARINGA, PR
1671;PEDRO TAQUES, PR
1672;CARMELA, SP
1675;COCAIA, SP
1676;AVENIDA MAJOR NICACIO, SP
1679;CARLOS SAMPAIO, SP
1681;COXIPO, MT
1685;BORDA DA MATA, MG
1686;CONQUISTA, MG
1687;MARIA DA FE, MG
1688;MONTE SIAO, MG
1689;CESARIO LANGE, SP
1691;VILA ANDEYARA, SP
1695;MIGUEL SUTIL, MT
1696;ARCOS, MG
1697;COROMANDEL, MG
1698;MATEUS LEME, MG
1699;PARAISOPOLIS, MG
1700;PITANGUI, MG
1701;MARIANA, MG
1707;PRACA SECA, RJ
1708;ARROIO DO MEIO, RS
1709;ARVOREZINHA, RS
1710;SANTA ADELIA, SP
1711;CRUZEIRENSE, RS
1712;CAMPINAS DO SUL, RS
1719;AV DA SAUDADE, SP
1721;CAMPESTRE, MG
1724;PRINCESA, MG
1725;BIAS FORTES, MG
1726;FRANCISCO SA DE MINAS, MG
1727;ROCA SALES, RS
1728;VIADUTOS, RS
1730;SALDANHA MARINHO, RJ
1732;GRANJA VIANNA, SP
1733;SHOPPING JARDINS, SE
1734;SAO JOSE DO CALCADO, ES
1735;BOM JESUS DE GOIAS, GO
1737;MIRACEMA DO TOCANTINS, TO
1739;TROPICAL, MA
1740;MEDINA, MG
1742;SABARA, MG
1745;SALTO DA DIVISA, MG
1746;PAMPULHA, MG
1747;LUZ, MG
1748;PRATAPOLIS, MG
1749;ANANINDEUA, PA
1756;AV CENTER, PR
1757;NOVA RUSSIA, PR
1761;UNISINOS, RS
1762;BUTIA, RS
1763;FELIZ, RS
1765;IVOTI, RS
1766;RIO AMAZONAS, AM
1767;PORTAO DO SUL, RS
1768;27 DE JULHO, SP
1769;ROLANTE, RS
1770;IGARACU DO TIETE, SP
1771;SANTO CRISTO, RS
1772;NOSSA SENHORA DO GUADALUPE, SP
1773;RUA CIPRIANO TAVARES, SP
1775;REGENTE FEIJO, SP
1776;LARGO DA GLORIA, RJ
1778;MOUTONNEE, SP
1780;PANORAMA, SP
1782;CORUPA, SC
1784;PALHOCA, SC
1785;ICARA, SC
1787;CESAR DE SOUZA, SP
1788;MORRO DA FUMACA, SC
1791;FRAIBURGO, SC
1792;PENHA, SC
1795;TIJUCAS, SC
1798;14 DE ABRIL, SP
1800;VILA, RJ
1803;ASA SUL, DF
1808;AV JAPAO, SP
1810;IGUAPE, SP
1812;METRO OSCAR FREIRE, SP
1813;FARIA LIMA, SP
1814;AV CILLOS, SP
1816;GRANJA JULIETA, SP
1817;TREMEMBE, SP
1818;JOAO PINHEIRO, MG
1820;SAO GOTARDO, MG
1821;AV MINAS GERAIS, MG
1823;CACOAL, RO
1824;JI-PARANA, RO
1825;VILHENA, RO
1826;SANTA TERESA, ES
1827;PIRES DO RIO, GO
1829;PORTO NACIONAL, TO
1830;SALINAS, MG
1831;ARIQUEMES, RO
1832;CERVEZAO, SP
1833;PEDRA BONITA, SP
1836;ICONHA, ES
1837;CHAVANTES, SP
1839;CALDAS NOVAS, GO
1842;APINAJES, GO
1845;NIQUELANDIA, GO
1846;PIRACANJUBA, GO
1850;SILVANIA, GO
1851;LUPICINIO RODRIGUES, RS
1852;DOM PEDRO II, RS
1853;ROCHA, RJ
1854;CONSTANTINA, RS
1855;CRISSIUMAL, RS
1856;MACATUBA, SP
1857;CAFELANDIA, SP
1859;EXTREMOZ, RN
1861;JARDIM INDEPENDENCIA, PR
1863;POTIRENDABA, SP
1868;CIDADE DO PORTO, SC
1872;IGREJINHA, RS
1873;HERCILIO LUZ, SC
1874;BIGUACU, SC
1875;KOBRASOL, SC
1877;MIRAMAR, SC
1878;CAMINHO DO MAR, SP
1879;SENHORA DOS NAVEGANTES, SC
1880;POMERODE, SC
1881;SEARA, SC
1882;ICOARACY, PA
1883;VIANELO, SP
1884;SAO LOURENCO DO OESTE, SC
1885;SAO JOSE DO CEDRO, SC
1887;MISTER HULL, CE
1888;DOM LUIZ, CE
1889;CAPITAL DO CIMENTO, SP
1890;NORTH SHOPPING CARUARU, PE
1891;VINTE E SEIS DE MARCO, SP
1893;AV JOAO RAMALHO, SP
1895;SANANDUVA, RS
1896;DESBRAVADOR, SC
1897;XV DE NOVEMBRO, SC
1898;IPAUSSU, SP
1899;JARDIM INGA, GO
1900;CARMO DO PARANAIBA, MG
1901;BAMBUI, MG
1902;CASTRO ALVES, BA
1906;TAJURAS, SP
1907;ENGENHEIRO CAETANO, SP
1908;MIMOSO DO SUL, ES
1909;CIDADE ANTIGA, PB
1910;TRIANGULO, MG
1911;BAYEUX, PB
1914;SANTA RITA, PB
1918;MORADA DO OURO, MT
1920;QUATRO DE ABRIL, SP
1922;BENFICA, CE
1924;FRITZ MULLER, SC
1925;CARLOS BARBOSA, RS
1926;VESPASIANO, MG
1927;TURFE CLUBE, RJ
1929;BOA ESPERANCA DO SUL, SP
1932;CHOPINZINHO, PR
1933;ESTACAO GILKA MACHADO, RJ
1934;PARQUE DO CARMO, SP
1937;NOVA ODESSA, SP
1938;CORDEIROPOLIS, SP
1942;NOVE DE JULHO, SP
1943;SAO LUIS DE MONTES BELOS, GO
1946;PITANGA, PR
1947;ELDORADO, SP
1949;CIDADE SIQUEIRA CAMPOS, PR
1951;WENCESLAU BRAZ, PR
1952;NOVA ORLEANS, PR
1953;REIS MAGOS, RN
1955;ACARAU, CE
1956;SENHORA DE FATIMA, CE
1957;BARBALHA, CE
1958;CASCAVEL, CE
1959;VILA PEDROSO, GO
1960;ICO, CE
1961;MARACANAU, CE
1962;ITAGUACU, ES
1963;VALE, ES
1966;PIMENTAS, SP
1967;VILA FRIBURGO, SP
1969;ALPHAVILLE, SP
1970;MARMELEIRO, PR
1971;AV BRASILIA, PR
1975;CAMPOS GERAIS, MG
1976;VILA EMA, SP
1977;EDSON QUEIROZ, CE
1978;PADRE ANCHIETA, ES
1979;AV AFONSO PENA, MS
1982;NOVA LONDRINA, PR
1983;CIDADE DE PARAIBUNA, SP
1985;AV RECANTO, DF
1987;PARQUE PIAUI, PI
1989;COSTA E SILVA, PI
1990;FELICITTA SHOPPING, DF
1996;CENTENARIO, SP
1997;VISCONDE DE INHAUMA, SP
1998;ALEXANDRINA, SP
2000;AV MANOEL GOULART, SP
2001;AVENIDA SAMPAIO VIDAL, SP
2002;PACAJUS, CE
2003;CACHOEIRA PAULISTA, SP
2004;AREOLINO DE ABREU, PI
2005;WALL STREET, BA
2008;PARNAMIRIM, RN
2010;POTENGI, RN
2012;UFOP, MG
2014;JUSTICA FEDERAL RIBEIRAO PRETO, SP
2015;AUTRAN NUNES, CE
2016;BERNARDO HORTA, ES
2017;CIDADE ALEGRIA, RJ
2018;ORGAOS FAZENDARIOS, MT
2019;CASTILHO, SP
2021;TERRA DO CHIMARRAO, RS
2022;LAURO DE FREITAS, BA
2023;BIRITIBA-MIRIM, SP
2025;TROPEIROS, SP
2026;BAIRRO SANTO AGOSTINHO, RJ
2027;MEDEIROS NETO, BA
2028;VOLUNTARIOS DA PATRIA, RJ
2030;ENGENHO DE DENTRO, RJ
2031;SERRA DE SANTA HELENA, MG
2032;TERRA ROXA, SP
2034;CONSELHEIRO CARRAO, SP
2035;PIQUETE, SP
2037;PRINCESA DA COLINA, SP
2038;LAJEADO VELHO, SP
2040;DOMINGOS MARTINS, ES
2041;CARAPINA, ES
2042;PRAIA DO CANTO, ES
2044;LAGOA NOVA, RN
2045;CONCEICAO DO PARAIBA, AL
2046;MARIBONDO, AL
2047;MACEIO SHOPPING, AL
2049;PILAR, AL
2052;FORUM DOURADOS, MS
2054;AV WEIMAR TORRES, MS
2055;JARDIM GERMANIA, SP
2056;PIUMA, ES
2057;SERRA DA MANTIQUEIRA, MG
2060;BOM JARDIM, RJ
2061;CACHOEIRAS DE MACACU, RJ
2063;PINHEIRO, MA
2068;MENDES, RJ
2072;SAPUCAIA, RJ
2075;SENADOR FLAQUER, SP
2077;PIRAI, RJ
2079;GOIANIA, GO
2080;SHOPPING DA ILHA, MA
2081;IOLANDA ASSIS, SE
2082;CACONDE, SP
2083;SALES OLIVEIRA, SP
2084;FERROVIARIOS, SP
2085;JAGUAQUARA, BA
2086;TANGARA DA SERRA, MT
2088;ESPLANADA CAMPOLIM, SP
2089;RIO CACHOEIRA, BA
2092;SAO SIMAO, SP
2093;TAPEJARA, RS
2094;PARQUE RIZZO, SP
2095;IBATE, SP
2097;INDIANOPOLIS, SP
2099;IBES, ES
2100;SAO BENTO DE ARARAQUARA, SP
2102;PRACA XV DE NOVEMBRO, SP
2103;JARDIM HELENA, SP
2104;TAPIRATIBA, SP
2105;BRODOWSKI, SP
2106;CAIEIRAS, SP
2109;VARZEA PAULISTA, SP
2111;VILA CARMOSINA, SP
2112;YPE CENTER, MS
2113;PREFEITURA MUNICIPAL DE MAUA, SP
2115;SAO GUALTER, SP
2117;CORURIPE, AL
2119;CATU, BA
2122;COLOMBO, PR
2123;RUA UBALDINO DO AMARAL, RJ
2124;BARREIROS, PE
2125;ESCADA, PE
2127;FAXINAL DO SOTURNO, RS
2130;OURICURI, PE
2131;JAPERI, RJ
2132;BENEVIDES, PA
2133;SERRO, MG
2134;JARDIM MARINGA, SP
2135;JARDIM SANTA TEREZA, SP
2136;NOVA PARAISOPOLIS, SP
2138;PRADOPOLIS, SP
2139;BARAO DE JUNDIAI, SP
2140;SANTA ERNESTINA, SP
2141;ALTOS DA CIDADE, SP
2142;SANTA ROSA DE VITERBO, SP
2143;MONTE CASTELO, SP
2144;SANTA GERTRUDES, SP
2146;JACARAIPE, ES
2149;FOZ DO ITAJAI, SC
2150;SIMOES FILHO, BA
2151;PRESIDENTE DUTRA, MA
2152;SAO MATEUS DO SUL, PR
2155;OSTERNACK, PR
2156;JUSTICA FEDERAL AMERICANA, SP
2158;MONGAGUA, SP
2159;PROSPERIDADE, SP
2161;ALTEROSAS, MG
2162;GUARIBA, SP
2163;PERIMETRAL, SP
2166;ALCOBACA, BA
2167;JARDIM BONFIGLIOLI, SP
2170;LAJEDO, PE
2171;PINHEIRAL, RJ
2175;FRANCISCO PORTO, SE
2176;SIMAO DIAS, SE
2177;HEBRAICA, SP
2178;MAIRINQUE, SP
2179;MAITINGA, SP
2180;LARGO DO MARRAO, RJ
2182;CORONEL VICENTE, RS
2183;PRACA DO FERREIRA, CE
2185;AV BADY BASSITT, SP
2186;FAUSTO CARDOSO, SE
2187;21 DE ABRIL, MG
2189;NHAMBIQUARAS, SP
2191;IGARASSU, PE
2192;BEZERROS, PE
2193;AV HERCULANO BANDEIRA, PE
2194;AV REPUBLICA DO LIBANO, SP
2195;JANDIRA, SP
2196;VOTORANTIM, SP
2197;JARDIM CIPAVA, SP
2198;VILA GALVAO, SP
2199;VILA REZENDE, SP
2201;JARDIM NORMA, SP
2203;JARDIM ABC, SP
2204;JOAO BETTEGA, PR
2205;ALBERTO ANDALO, SP
2206;JUSTICA FEDERAL SANTOS, SP
2207;PORTO REAL, RJ
2208;ITATINGA, SP
2209;VILA ARENS, SP
2211;GRACA, BA
2212;BRIGADEIRO PAULISTA, SP
2214;QUINTA DAS PAINEIRAS, SP
2215;MARUIM, SE
2216;SERRA DOS CRISTAIS, SP
2217;ALTO DA SERRA, RJ
2218;SHOPPING BARRA, BA
2220;MINISTERIO DO TRABALHO, DF
2221;FIEP, PB
2223;CAMARA DOS DEPUTADOS, DF
2224;AV ZAHRAN, MS
2225;VENETO, SC
2228;AV MATO GROSSO, MS
2230;TRT 21A REGIAO NATAL, RN
2231;MARECHAL MALLET, RS
2232;MONTE CRISTO, RS
2234;MARISTA, GO
2240;4 DIVISAO DO EXERCITO, MG
2244;PORTO VELHO, SP
2247;RIO COMPRIDO, RJ
2249;NILOPOLITANA, RJ
2251;JUST TRABALHO JUIZ DE FORA, MG
2252;SESC, PR
2255;ABC, MG
2256;VILA NOVA, GO
2257;NOVA SERRANA, MG
2261;PRINCESA DA SERRA, SE
2262;CENTRO OESTE, GO
2264;DIAS DA CRUZ, RJ
2265;JUSTICA DO TRABALHO JABOATAO, PE
2266;CAPAO DA CANOA, RS
2270;JARDIM BOTANICO, RJ
2272;CEILANDIA, DF
2273;JARDIM AGUA BOA, MS
2274;T-9, GO
2277;CONCEICAO DO MATO DENTRO, MG
